Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Tactical Awareness,Positioning,Vision,Penalties,Composure,Total defending,Marking,Tackling,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,Traits.1,PlayStyles,PlayStyles +,Number of traits,Acceleration Type,Unnamed: 78,href,country
,Ernane CAM,21,67,67,Vasco da Gama 2009,156916,"176cm / 5'9""",65kg / 143lbs,Right,68,CF,,€0,€0,€0,259,65,55,67,72,0,266,68,0,64,66,68,194,65,61,0,68,0,241,68,0,73,52,48,131,67,0,0,0,0,64,73,43,30,0,45,12,11,0,14,8,1209,356,3,1,,,1,PLAYER_BODY_TYPE_,Yes,63,56,68,68,40,61,Leadership,,,,1,,,https://sofifa.com/player/156916/ernane/070002/,Brazil
,César Cortés CF,22,67,71,Albacete Balompié 2009,178421,"176cm / 5'9""",71kg / 157lbs,Right,67,CF,,€0,€0,€0,258,67,68,57,66,0,251,61,0,61,61,68,189,68,62,0,59,0,261,66,0,68,66,61,120,59,0,0,0,0,61,89,50,39,0,36,10,5,0,12,9,1204,370,3,1,,,1,PLAYER_BODY_TYPE_,Yes,65,66,65,63,46,65,Leadership,,,,1,,,https://sofifa.com/player/178421/cesar-cortes/070002/,Chile
,F. Darlas LB,22,67,73,Panathinaikos FC 2007,142326,"180cm / 5'11""",73kg / 161lbs,Left,67,LB,,€0,€0,€0,204,48,37,51,68,0,251,68,0,64,68,51,224,79,79,0,66,0,289,71,0,77,78,63,141,77,0,0,0,0,64,143,76,67,0,43,13,10,0,6,14,1295,404,3,1,,,2,PLAYER_BODY_TYPE_,Yes,79,52,63,62,70,78,Leadership,,,,1,,,https://sofifa.com/player/142326/filipos-darlas/070002/,Greece
,Dionattan CAM,24,67,72,Associação Académica de Coimbra 2007,157942,"180cm / 5'11""",71kg / 157lbs,Right,68,CF,,€0,€0,€0,233,63,58,44,68,0,265,70,0,67,64,64,215,77,73,0,65,0,263,71,0,70,57,65,119,52,0,0,0,0,67,98,48,50,0,30,6,12,0,5,7,1223,379,3,1,,,3,PLAYER_BODY_TYPE_,Yes,75,63,66,67,48,60,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/157942/dionattan/070002/,Brazil
,A. González ST,31,67,70,Pumas UNAM 2007,169206,"172cm / 5'8""",67kg / 148lbs,Right,67,ST,,€0,€0,€0,270,66,74,69,61,0,259,69,0,65,64,61,186,63,69,0,54,0,253,67,0,52,68,66,99,34,0,0,0,0,65,96,48,48,0,107,30,25,0,23,29,1270,369,3,1,,,2,PLAYER_BODY_TYPE_,Yes,66,70,63,64,50,56,Leadership,,,,1,,,https://sofifa.com/player/169206/ariel-gonzalez/070002/,Argentina
,A. Tettey CM,20,67,74,Rosenborg BK 2009,152567,"180cm / 5'11""",68kg / 150lbs,Left,67,CM,,€0,€0,€0,228,56,40,65,67,0,253,63,0,55,66,69,203,72,76,0,55,0,270,72,0,67,64,67,111,56,0,0,0,0,55,131,68,63,0,43,14,15,0,9,5,1239,384,3,1,,,2,PLAYER_BODY_TYPE_,Yes,74,54,63,64,66,63,Leadership,,,,1,,,https://sofifa.com/player/152567/alexander-tettey/070002/,Norway
,L. Squizzi GK,32,67,72,AC ChievoVerona 2006,158455,"191cm / 6'3""",86kg / 190lbs,Right,67,GK,,€0,€0,€0,117,28,23,30,36,0,189,31,0,49,63,46,176,52,56,0,68,0,217,58,0,74,73,12,80,31,0,0,0,0,49,60,29,31,0,263,64,66,0,66,67,1102,380,3,1,,,1,PLAYER_BODY_TYPE_,Yes,64,66,63,67,54,66,Leadership,,,,1,,,https://sofifa.com/player/158455/lorenzo-squizzi/070002/,Italy
,S. Glass CM,30,67,69,Hibernian 2009,103415,"175cm / 5'9""",68kg / 150lbs,Left,68,CF,,€0,€0,€0,245,75,60,36,74,0,262,61,0,64,72,65,188,67,59,0,62,0,243,68,0,65,59,51,99,35,0,0,0,0,64,118,59,59,0,62,18,16,0,14,14,1217,372,3,1,,,2,PLAYER_BODY_TYPE_,Yes,63,60,73,63,57,56,Leadership,,,,1,,,https://sofifa.com/player/103415/stephen-glass/070002/,Scotland
,Sastre RB,30,67,72,Real Sporting de Gijón 2009,113399,"175cm / 5'9""",74kg / 163lbs,Right,69,RB,,€0,€0,€0,251,74,54,60,63,0,249,49,0,65,66,69,199,64,65,0,70,0,233,46,0,68,57,62,133,68,0,0,0,0,65,139,69,70,0,30,9,6,0,5,10,1234,378,3,1,,,2,PLAYER_BODY_TYPE_,Yes,65,55,67,59,69,63,Leadership,,,,1,,,https://sofifa.com/player/113399/sastre/070002/,Spain
,S. Olembé LWB,25,67,74,Olympique de Marseille 2007,7416,"171cm / 5'7""",66kg / 146lbs,Left,67,LWB,,€0,€0,€0,235,70,42,59,64,0,237,37,0,60,72,68,181,61,64,0,56,0,201,40,0,64,60,37,127,67,0,0,0,0,60,136,68,68,0,50,13,14,0,12,11,1167,352,3,1,,,2,PLAYER_BODY_TYPE_,Yes,63,41,67,51,67,63,Leadership,,,,1,,,https://sofifa.com/player/7416/salomon-olembe/070002/,Cameroon
,S. Laybutt CB,28,67,67,KAA Gent 2007,139768,"189cm / 6'2""",88kg / 194lbs,Left,67,CB,,€0,€0,€0,203,38,45,70,50,0,170,35,0,55,40,40,159,48,53,0,58,0,243,65,0,63,86,29,140,85,0,0,0,0,55,135,63,72,0,54,15,15,0,12,12,1104,328,3,1,,,2,PLAYER_BODY_TYPE_,Yes,51,46,45,40,67,79,Adaptability Leadership Low club identification,,,,3,,,https://sofifa.com/player/139768/stephen-laybutt/070002/,Australia
,B. Aarsheim CM,31,67,70,IK Start 2007,148728,"177cm / 5'10""",70kg / 154lbs,Right,68,CF,,€0,€0,€0,219,63,27,64,65,0,273,66,0,78,61,68,219,70,73,0,76,0,283,71,0,80,74,58,144,66,0,0,0,0,78,96,45,51,0,39,13,8,0,5,13,1273,374,3,1,,,2,PLAYER_BODY_TYPE_,Yes,72,46,65,68,49,74,Leadership,,,,1,,,https://sofifa.com/player/148728/bjarte-lunde-aarsheim/070002/,Norway
,F. Sebo ST,22,67,72,Rangers FC 2007,150520,"181cm / 5'11""",77kg / 170lbs,Right,67,ST,,€0,€0,€0,234,41,71,70,52,0,233,67,0,65,39,62,173,58,54,0,61,0,263,71,0,62,65,65,92,27,0,0,0,0,65,55,25,30,0,40,10,14,0,5,11,1090,325,3,1,,,1,PLAYER_BODY_TYPE_,Yes,56,69,47,64,32,57,Leadership,,,,1,,,https://sofifa.com/player/150520/filip-sebo/070002/,Slovakia
,Miguel GK,24,67,70,Real Zaragoza 2008,171768,"190cm / 6'3""",89kg / 196lbs,Right,67,GK,,€0,€0,€0,32,7,13,6,6,0,82,10,0,17,48,7,146,38,50,0,58,0,81,5,0,35,37,4,43,26,0,0,0,0,17,9,7,2,0,277,62,68,0,80,67,670,370,3,1,,,2,PLAYER_BODY_TYPE_,Yes,62,68,48,67,45,80,Leadership High training work rate,,,,2,,,https://sofifa.com/player/171768/miguel/070002/,Spain
,T. Knabel CB,26,67,68,FC Wacker Innsbruck 2009,50168,"187cm / 6'2""",79kg / 174lbs,Right,67,CB,,€0,€0,€0,204,47,42,69,46,0,216,47,0,76,46,47,223,70,75,0,78,0,219,34,0,76,76,33,152,76,0,0,0,0,76,132,66,66,0,45,13,8,0,11,13,1191,356,3,1,,,1,PLAYER_BODY_TYPE_,Yes,73,40,49,52,66,76,Leadership,,,,1,,,https://sofifa.com/player/50168/torsten-knabel/070002/,Austria
,Arruabarrena CF,23,67,72,Xerez 2008,146937,"188cm / 6'2""",79kg / 174lbs,Right,71,CF,,€0,€0,€0,298,72,72,84,70,0,274,70,0,73,62,69,212,74,78,0,60,0,251,55,0,67,68,61,141,68,0,0,0,0,73,72,53,19,0,46,13,15,0,9,9,1294,390,3,1,,,1,PLAYER_BODY_TYPE_,Yes,76,66,69,68,43,68,Leadership,,,,1,,,https://sofifa.com/player/146937/arruabarrena/070002/,Spain
,N. Stokholm CM,30,67,74,Viking FK 2009,9722,"182cm / 6'0""",73kg / 161lbs,Right,68,CM,,€0,€0,€0,225,50,50,52,73,0,266,59,0,60,77,70,178,58,68,0,52,0,285,72,0,77,57,79,138,78,0,0,0,0,60,75,37,38,0,37,8,6,0,12,11,1204,361,3,1,,,2,PLAYER_BODY_TYPE_,Yes,64,62,67,62,39,67,Leadership,,,,1,,,https://sofifa.com/player/9722/nicolai-stokholm/070002/,Denmark
,Y. Yiasoumi ST,32,67,73,PAOK 2007,142330,"175cm / 5'9""",71kg / 157lbs,Right,67,ST,,€0,€0,€0,258,63,66,68,61,0,253,61,0,73,53,66,220,71,78,0,71,0,270,61,0,81,68,60,142,69,0,0,0,0,73,86,53,33,0,36,6,13,0,10,7,1265,383,3,1,,,1,PLAYER_BODY_TYPE_,Yes,75,64,61,64,47,72,Leadership,,,,1,,,https://sofifa.com/player/142330/yiasoumis-yiasoumi/070002/,Cyprus
,B. Dahl RWB,28,67,69,SK Brann 2008,148730,"181cm / 5'11""",80kg / 176lbs,Right,67,RWB,,€0,€0,€0,224,66,24,64,70,0,251,55,0,72,61,63,215,75,74,0,66,0,271,64,0,71,74,62,142,70,0,0,0,0,72,130,64,66,0,44,14,15,0,9,6,1277,381,3,1,,,2,PLAYER_BODY_TYPE_,Yes,74,44,67,59,65,72,Leadership,,,,1,,,https://sofifa.com/player/148730/bjorn-dahl/070002/,Norway
,Kwon Jeong Hyuk GK,27,67,68,Gimcheon Sangmu FC 2007,136699,"193cm / 6'4""",83kg / 183lbs,Right,67,GK,,€0,€0,€0,70,23,12,12,23,0,200,32,0,66,69,33,121,21,52,0,48,0,175,23,0,72,72,8,110,44,0,0,0,0,66,88,33,55,0,264,65,66,0,71,62,1028,371,3,1,,,1,PLAYER_BODY_TYPE_,Yes,65,66,69,62,38,71,Leadership,,,,1,,,https://sofifa.com/player/136699/kwon-jeong-hyuk/070002/,Korea Republic
,S. Victorine CM,28,67,67,Sporting Kansas City 2007,36859,"188cm / 6'2""",77kg / 170lbs,Left,71,CM,,€0,€0,€0,259,66,65,56,72,0,269,72,0,64,69,64,211,67,79,0,65,0,262,64,0,74,67,57,117,53,0,0,0,0,64,98,55,43,0,26,5,6,0,6,9,1242,390,3,1,,,2,PLAYER_BODY_TYPE_,Yes,74,63,69,68,50,66,Leadership Flexibility,,,,2,,,https://sofifa.com/player/36859/sasha-victorine/070002/,United States
,Dani Borreguero LM,30,67,69,SD Ponferradina 2007,113403,"166cm / 5'5""",67kg / 148lbs,Left,67,LM,,€0,€0,€0,275,68,66,70,71,0,265,67,0,60,68,70,187,68,58,0,61,0,252,69,0,57,58,68,110,50,0,0,0,0,60,80,49,31,0,29,8,7,0,8,6,1198,365,3,1,,,2,PLAYER_BODY_TYPE_,Yes,63,67,68,67,44,56,Adaptability Leadership Low training work rate,,,,3,,,https://sofifa.com/player/113403/dani-borreguero/070002/,Spain
,D. López CB,31,67,84,Cagliari 2007,105469,"180cm / 5'11""",76kg / 168lbs,Right,67,CB,,€0,€0,€0,196,39,49,67,41,0,240,41,0,77,61,61,190,57,69,0,64,0,260,52,0,64,78,66,144,67,0,0,0,0,77,133,64,69,0,57,12,12,0,14,19,1220,357,3,1,,,2,PLAYER_BODY_TYPE_,Yes,64,55,49,51,66,72,Leadership,,,,1,,,https://sofifa.com/player/105469/diego-luis-lopez/070002/,Uruguay
,S. Haeldermans LM,31,67,71,Rot-Weiss Essen 2007,139774,"174cm / 5'9""",68kg / 150lbs,Left,67,LM,,€0,€0,€0,240,62,50,57,71,0,244,62,0,55,61,66,184,63,70,0,51,0,253,56,0,75,67,55,121,66,0,0,0,0,55,106,49,57,0,35,7,6,0,10,12,1183,369,3,1,,,2,PLAYER_BODY_TYPE_,Yes,67,53,65,62,53,69,Leadership,,,,1,,,https://sofifa.com/player/139774/stijn-haeldermans/070002/,Belgium
,D. Sjölund CAM,23,67,66,Djurgårdens IF 2007,53502,"178cm / 5'10""",73kg / 161lbs,Left,70,CF,,€0,€0,€0,261,74,62,53,72,0,270,66,0,74,62,68,194,64,62,0,68,0,242,54,0,69,57,62,122,48,0,0,0,0,74,96,48,48,0,29,6,5,0,11,7,1214,369,3,1,,,2,PLAYER_BODY_TYPE_,Yes,63,61,70,67,49,59,Leadership Flexibility,,,,2,,,https://sofifa.com/player/53502/daniel-sjolund/070002/,Finland
,L. Rogerio RW,26,66,68,FC Aarau 2009,139265,"182cm / 6'0""",73kg / 161lbs,Right,70,CF,,€0,€0,€0,239,64,65,54,56,0,253,63,0,69,48,73,194,65,68,0,61,0,281,74,0,76,64,67,132,63,0,0,0,0,69,84,41,43,0,39,10,10,0,5,14,1222,368,4,1,,,3,PLAYER_BODY_TYPE_,Yes,67,68,57,66,43,67,Leadership Low club identification,,,,2,,,https://sofifa.com/player/139265/luiz-da-silva-rogerio/070002/,Brazil
,Tuni LM,24,66,66,RCD Mallorca 2009,146689,"181cm / 5'11""",72kg / 159lbs,Left,66,LM,,€0,€0,€0,252,72,60,58,62,0,261,68,0,59,69,65,211,63,74,0,74,0,235,62,0,44,62,67,107,48,0,0,0,0,59,105,59,46,0,43,7,14,0,7,15,1214,373,3,1,,,2,PLAYER_BODY_TYPE_,Yes,69,62,66,68,54,54,Adaptability Leadership,,,,2,,,https://sofifa.com/player/146689/tuni/070002/,Spain
,Roma ST,28,66,68,B-SAD 2007,155393,"169cm / 5'7""",69kg / 152lbs,Right,66,ST,,€0,€0,€0,202,54,64,32,52,0,227,65,0,57,44,61,229,84,77,0,68,0,241,63,0,70,54,54,120,63,0,0,0,0,57,47,25,22,0,45,10,13,0,9,13,1111,342,3,1,,,1,PLAYER_BODY_TYPE_,Yes,80,61,51,64,25,61,Leadership,,,,1,,,https://sofifa.com/player/155393/roma/070002/,Brazil
,J. Koubsky CB,23,66,71,FC St.Gallen 1879 2006,162049,"193cm / 6'4""",87kg / 192lbs,Right,66,CB,,€0,€0,€0,237,48,57,67,65,0,244,47,0,64,67,66,177,63,53,0,61,0,254,65,0,61,67,61,129,65,0,0,0,0,64,132,62,70,0,54,13,14,0,12,15,1227,366,3,1,,,2,PLAYER_BODY_TYPE_,Yes,58,60,61,56,66,65,Leadership High training work rate,,,,2,,,https://sofifa.com/player/162049/jiri-koubsky/070002/,Czechia
,Hidalgo CDM,27,66,69,Málaga CF 2008,111105,"183cm / 6'0""",74kg / 163lbs,Right,69,CDM,,€0,€0,€0,199,45,39,49,66,0,251,39,0,72,69,71,209,71,77,0,61,0,276,66,0,75,71,64,144,72,0,0,0,0,72,139,65,74,0,46,8,13,0,12,13,1264,381,3,1,,,3,PLAYER_BODY_TYPE_,Yes,74,52,62,54,67,72,Leadership,,,,1,,,https://sofifa.com/player/111105/hidalgo/070002/,Spain
,Léo Guerra ST,29,66,68,Associação Naval 1893 2007,168450,"187cm / 6'2""",87kg / 192lbs,Left,66,ST,,€0,€0,€0,257,53,68,77,59,0,232,57,0,64,51,60,199,67,65,0,67,0,280,70,0,63,75,72,113,49,0,0,0,0,64,60,29,31,0,49,12,10,0,14,13,1190,352,3,1,,,1,PLAYER_BODY_TYPE_,Yes,66,69,56,60,35,66,Adaptability Leadership Low club identification,,,,3,,,https://sofifa.com/player/168450/leo-guerra/070002/,Brazil
,D. Coyne GK,32,66,71,Burnley 2007,53506,"180cm / 5'11""",83kg / 183lbs,Right,66,GK,,€0,€0,€0,106,20,24,35,27,0,177,19,0,56,72,30,187,59,60,0,68,0,194,20,0,74,74,26,115,59,0,0,0,0,56,34,19,15,0,259,61,63,0,66,69,1072,391,3,1,,,2,PLAYER_BODY_TYPE_,Yes,61,63,72,69,60,66,Leadership,,,,1,,,https://sofifa.com/player/53506/danny-coyne/070002/,Wales
,A. Blayney GK,24,66,74,Doncaster Rovers 2008,156163,"188cm / 6'2""",80kg / 176lbs,Right,66,GK,,€0,€0,€0,101,22,28,23,28,0,184,28,0,71,62,23,182,65,62,0,55,0,202,24,0,75,80,23,137,66,0,0,0,0,71,43,20,23,0,257,65,68,0,64,60,1106,382,3,1,,,2,PLAYER_BODY_TYPE_,Yes,65,68,62,60,63,64,Leadership,,,,1,,,https://sofifa.com/player/156163/alan-blayney/070002/,Northern Ireland
,Bruno Lança CDM,23,66,78,Santa Cruz 2007,156932,"181cm / 5'11""",80kg / 176lbs,Right,69,CDM,,€0,€0,€0,241,46,56,70,69,0,230,52,0,60,55,63,176,70,69,0,37,0,250,70,0,61,69,50,130,70,0,0,0,0,60,142,71,71,0,50,10,11,0,14,15,1219,378,3,1,,,2,PLAYER_BODY_TYPE_,Yes,69,58,59,54,71,67,Leadership,,,,1,,,https://sofifa.com/player/156932/bruno-lanca/070002/,Brazil
,C. Zotti GK,23,66,73,Sampdoria 2008,103940,"190cm / 6'3""",86kg / 190lbs,Right,66,GK,,€0,€0,€0,119,36,24,36,23,0,169,34,0,51,64,20,146,47,52,0,47,0,164,24,0,59,66,15,93,42,0,0,0,0,51,55,28,27,0,262,64,61,0,71,66,1008,376,3,1,,,1,PLAYER_BODY_TYPE_,Yes,64,61,64,66,50,71,Leadership,,,,1,,,https://sofifa.com/player/103940/carlo-zotti/070002/,Italy
,T. Giresse CAM,25,66,69,Amiens SC 2008,112389,"172cm / 5'8""",65kg / 143lbs,Left,73,CF,,€0,€0,€0,250,75,45,55,75,0,240,63,0,49,52,76,215,80,73,0,62,0,240,62,0,70,70,38,114,65,0,0,0,0,49,83,43,40,0,39,10,6,0,13,10,1181,369,3,1,,,3,PLAYER_BODY_TYPE_,Yes,76,47,67,67,43,69,Leadership,,,,1,,,https://sofifa.com/player/112389/thibault-giresse/070002/,France
,T. Wagner ST,29,66,65,SV Mattersburg 2008,50181,"180cm / 5'11""",70kg / 154lbs,Right,66,ST,,€0,€0,€0,218,56,53,61,48,0,234,63,0,46,48,77,204,73,73,0,58,0,264,69,0,66,72,57,117,71,0,0,0,0,46,31,12,19,0,53,12,13,0,14,14,1121,337,4,1,,,2,PLAYER_BODY_TYPE_,Yes,73,57,50,67,20,70,Leadership,,,,1,,,https://sofifa.com/player/50181/thomas-wagner/070002/,Austria
,D. Kenton RB,27,66,71,Leicester City 2008,101894,"175cm / 5'9""",74kg / 163lbs,Right,69,RB,,€0,€0,€0,190,50,21,71,48,0,204,51,0,63,36,54,207,67,67,0,73,0,214,20,0,79,74,41,131,68,0,0,0,0,63,136,70,66,0,41,13,6,0,8,14,1123,340,3,1,,,3,PLAYER_BODY_TYPE_,Yes,67,28,47,55,69,74,Leadership,,,,1,,,https://sofifa.com/player/101894/darren-kenton/070002/,England
,V. Varga LB,26,66,68,Royal Charleroi Sporting Club 2007,167686,"184cm / 6'0""",79kg / 174lbs,Left,71,CF,,€0,€0,€0,301,84,62,86,69,0,260,67,0,69,65,59,198,69,74,0,55,0,266,66,0,65,71,64,133,64,0,0,0,0,69,125,64,61,0,31,6,7,0,7,11,1314,403,3,1,,,1,PLAYER_BODY_TYPE_,Yes,72,64,72,62,65,68,Leadership,,,,1,,,https://sofifa.com/player/167686/velimir-varga/070002/,Slovenia
,C. Guntveit RM,30,66,66,SK Brann 2008,115206,"178cm / 5'10""",75kg / 165lbs,Right,68,RM,,€0,€0,€0,236,69,36,62,69,0,265,55,0,81,62,67,206,73,67,0,66,0,264,68,0,70,59,67,153,72,0,0,0,0,81,131,66,65,0,39,12,11,0,8,8,1294,381,3,1,,,2,PLAYER_BODY_TYPE_,Yes,70,52,68,61,65,65,Leadership High training work rate,,,,2,,,https://sofifa.com/player/115206/cato-guntveit/070002/,Norway
,F. Wilnis RWB,35,66,68,Ipswich Town 2006,50695,"180cm / 5'11""",75kg / 165lbs,Right,67,CF,,€0,€0,€0,216,66,19,64,67,0,230,64,0,47,56,63,187,60,69,0,58,0,263,60,0,71,72,60,108,61,0,0,0,0,47,130,62,68,0,36,10,7,0,7,12,1170,364,3,1,,,2,PLAYER_BODY_TYPE_,Yes,65,39,62,63,65,70,Leadership,,,,1,,,https://sofifa.com/player/50695/fabian-wilnis/070002/,Netherlands
,Mário Silva LB,29,66,70,Boavista FC 2009,53767,"176cm / 5'9""",72kg / 159lbs,Left,67,LB,,€0,€0,€0,226,65,39,59,63,0,255,52,0,74,66,63,208,74,77,0,57,0,279,61,0,73,73,72,151,77,0,0,0,0,74,130,67,63,0,32,5,9,0,10,8,1281,390,3,1,,,2,PLAYER_BODY_TYPE_,Yes,76,53,65,57,65,74,Adaptability Leadership,,,,2,,,https://sofifa.com/player/53767/mario-silva/070002/,Portugal
,D. Clarkson ST,20,66,75,Motherwell FC 2008,139784,"178cm / 5'10""",64kg / 141lbs,Right,66,ST,,€0,€0,€0,202,42,67,38,55,0,217,54,0,54,44,65,189,70,75,0,44,0,233,66,0,61,45,61,74,20,0,0,0,0,54,87,35,52,0,34,3,9,0,11,11,1036,330,3,1,,,2,PLAYER_BODY_TYPE_,Yes,73,65,49,56,42,45,Leadership,,,,1,,,https://sofifa.com/player/139784/david-clarkson/070002/,Scotland
,D. Oyen LWB,30,66,67,KSV Roeselare 2008,102920,"183cm / 6'0""",81kg / 179lbs,Left,69,CF,,€0,€0,€0,239,72,46,53,68,0,268,66,0,64,70,68,198,66,69,0,63,0,264,69,0,63,65,67,118,54,0,0,0,0,64,122,59,63,0,36,13,7,0,5,11,1245,382,3,1,,,2,PLAYER_BODY_TYPE_,Yes,68,57,69,66,60,62,Leadership,,,,1,,,https://sofifa.com/player/102920/davy-oyen/070002/,Belgium
,D. Van Hoyweghen CB,30,66,67,KSK Beveren 2008,103688,"188cm / 6'2""",75kg / 165lbs,Right,66,CB,,€0,€0,€0,200,36,41,73,50,0,189,41,0,63,40,45,166,55,59,0,52,0,215,55,0,61,67,32,123,60,0,0,0,0,63,134,66,68,0,25,6,6,0,7,6,1052,321,3,1,,,2,PLAYER_BODY_TYPE_,Yes,57,43,45,44,68,64,Inflexible Leadership,,,,2,,,https://sofifa.com/player/103688/david-van-hoyweghen/070002/,Belgium
,I. Dal Santo LWB,34,66,66,FC Luzern 2007,2313,"176cm / 5'9""",72kg / 159lbs,Left,66,LWB,,€0,€0,€0,203,56,27,56,64,0,218,40,0,58,53,67,186,63,69,0,54,0,245,63,0,79,59,44,127,69,0,0,0,0,58,127,61,66,0,43,14,11,0,7,11,1149,347,3,1,,,2,PLAYER_BODY_TYPE_,Yes,66,40,59,52,63,67,Leadership,,,,1,,,https://sofifa.com/player/2313/ivan-dal-santo/070002/,Switzerland
,C. Kinkela Fuanda RW,24,66,65,Amiens SC 2007,172297,"175cm / 5'9""",72kg / 159lbs,Right,66,RW,,€0,€0,€0,244,66,53,56,69,0,252,61,0,64,63,64,213,73,70,0,70,0,238,59,0,65,53,61,123,59,0,0,0,0,64,46,20,26,0,32,8,8,0,8,8,1148,341,3,1,,,1,PLAYER_BODY_TYPE_,Yes,71,57,66,63,26,58,Leadership,,,,1,,,https://sofifa.com/player/172297/christian-kinkela-fuanda/070002/,Congo
,G. Malicki GK,32,66,84,Lille OSC 2007,116745,"187cm / 6'2""",85kg / 187lbs,Right,66,GK,,€0,€0,€0,47,11,13,12,11,0,159,12,0,50,67,30,139,35,57,0,47,0,118,12,0,45,50,11,70,20,0,0,0,0,50,23,12,11,0,269,67,59,0,69,74,825,383,3,1,,,3,PLAYER_BODY_TYPE_,Yes,67,59,67,74,47,69,Leadership,,,,1,,,https://sofifa.com/player/116745/gregory-malicki/070002/,France
,D. Young CDM,27,66,65,Dunfermline Athletic 2006,4106,"175cm / 5'9""",75kg / 165lbs,Right,66,CDM,,€0,€0,€0,232,64,48,54,66,0,254,66,0,66,60,62,192,63,62,0,67,0,250,58,0,72,68,52,111,45,0,0,0,0,66,130,61,69,0,47,10,12,0,15,10,1216,372,3,1,,,2,PLAYER_BODY_TYPE_,Yes,62,52,64,65,64,65,Inflexible Leadership,,,,2,,,https://sofifa.com/player/4106/darren-young/070002/,Scotland
,M. Wagefeld CDM,25,66,76,FC Hansa Rostock 2008,101386,"186cm / 6'1""",85kg / 187lbs,Left,71,CDM,,€0,€0,€0,248,61,59,59,69,0,262,62,0,63,69,68,212,77,74,0,61,0,308,81,0,82,76,69,135,72,0,0,0,0,63,110,59,51,0,40,7,13,0,9,11,1315,404,3,1,,,3,PLAYER_BODY_TYPE_,Yes,75,66,66,64,56,77,Leadership High training work rate,,,,2,,,https://sofifa.com/player/101386/maik-wagefeld/070002/,Germany
,Mario Suárez CM,19,66,78,Real Valladolid CF 2008,171018,"186cm / 6'1""",80kg / 176lbs,Left,68,CF,,€0,€0,€0,232,65,38,58,71,0,237,60,0,42,63,72,213,69,71,0,73,0,211,41,0,68,58,44,100,58,0,0,0,0,42,107,49,58,0,42,12,13,0,6,11,1142,356,4,1,,,2,PLAYER_BODY_TYPE_,Yes,70,40,65,66,54,61,Leadership,,,,1,,,https://sofifa.com/player/171018/mario-suarez/070002/,Spain
,Paulo Miranda CM,32,66,83,São Caetano 2006,21771,"177cm / 5'10""",71kg / 157lbs,Right,75,CF,,€0,€0,€0,267,67,66,65,69,0,210,48,0,54,42,66,200,67,70,0,63,0,305,75,0,83,79,68,127,73,0,0,0,0,54,154,79,75,0,28,11,6,0,5,6,1291,409,3,1,,,3,PLAYER_BODY_TYPE_,Yes,69,68,60,57,76,79,Leadership High training work rate,,,,2,,,https://sofifa.com/player/21771/paulo-miranda/070002/,Brazil
,J. De la Cruz RW,23,66,66,Querétaro 2010,156427,"160cm / 5'3""",58kg / 128lbs,Right,66,RW,,€0,€0,€0,185,68,22,27,68,0,192,61,0,21,47,63,181,73,76,0,32,0,193,38,0,61,41,53,77,56,0,0,0,0,21,47,24,23,0,26,7,6,0,5,8,901,297,3,1,,,1,PLAYER_BODY_TYPE_,Yes,75,33,58,57,24,50,Leadership,,,,1,,,https://sofifa.com/player/156427/juan-de-la-cruz/070002/,Mexico
,Luciano Almeida LWB,31,66,66,Goiás 2007,164107,"180cm / 5'11""",74kg / 163lbs,Left,69,LWB,,€0,€0,€0,217,47,46,61,63,0,236,51,0,54,72,59,194,67,64,0,63,0,243,62,0,72,68,41,114,60,0,0,0,0,54,146,75,71,0,35,11,12,0,5,7,1185,369,3,1,,,1,PLAYER_BODY_TYPE_,Yes,65,48,60,56,72,68,Leadership,,,,1,,,https://sofifa.com/player/164107/luciano-almeida/070002/,Brazil
,F. Aguirre ST,28,66,67,FC St.Gallen 1879 2009,144140,"178cm / 5'10""",80kg / 176lbs,Left,66,ST,,€0,€0,€0,206,27,64,63,52,0,245,65,0,68,46,66,187,62,62,0,63,0,253,68,0,67,56,62,134,66,0,0,0,0,68,41,17,24,0,45,9,12,0,9,15,1111,323,3,1,,,2,PLAYER_BODY_TYPE_,Yes,62,65,46,65,24,61,Leadership Media darling,,,,2,,,https://sofifa.com/player/144140/francisco-aguirre/070002/,Argentina
